numer_miejsca,nazwa,nazwa_angielska,adres,typ,wspolrzedne,czas_dojazdu,orientacyjny_czas,koszt,godziny_otwarcia,konieczna_akcja,trudnosc_adhd,ochrona_slonce,potencjal_meltdownu,strategie_meltdown,opis,zadania_dla_dzieci,odwiedzone
1,Pałac Minojski w Knossos,Minoan Palace of Knossos,"Minoan Palace of Knossos, Knossos, Heraklion 714 09",Must have,"35.29805, 25.16278",2 godz. 15 min,1.5 - 2.5 godziny,"40 EUR (bilety wstępu: dorośli 2x20 EUR, dzieci 5 i 7 lat: bezpłatnie; opcjonalny przewodnia 3D iPad ok. 10 EUR)",8:00 - 19:30 (10-15.09) / 8:00 - 19:00 (16-24.09),Rekomendowana rezerwacja biletów online w sezonie (by uniknąć długich kolejek) oraz umówienie licencjonowanego przewodnika na miejscu.,"Trudne - Długie czekanie w kolejkach, tłumy i wysoka temperatura szybko wyczerpują cierpliwość. Abstrakcyjne ruiny wymagają dużej wyobraźni, a zakaz zbaczania ze ścieżek ogranicza potrzebę ruchu. Wskazówki: Kup bilety online na rano (8:00), użyj aplikacji 3D na iPadzie dla wizualnego zaangażowania, zamień zwiedzanie w poszukiwanie skarbów (np. minotaura/podwójnego topora), zaplanuj częste przerwy w cieniu.","Pełne słońce. Brak naturalnego cienia na terenie ruin pałacu. Konieczne nakrycie głowy, krem z filtrem UV oraz zapas wody.","Wysoki do Ekstremalny - Dzieci: Ponad 2-godzinna podróż w jedną stronę buduje ogromne napięcie ruchowe. Na miejscu upał, tłum, brak cienia i konieczność chodzenia po ciasnych pomostach bez możliwości swobodnego biegania to prosta droga do przeciążenia sensorycznego. Rodzice: Silne wyczerpanie jazdą i presja wydanych 40 EUR mogą obniżyć cierpliwość, powodując lęk przed oceną innych ludzi podczas meltdownu dziecka.","Kup bilety online na rano (8:00), wejdźcie na otwarcie. Wypożyczcie iPada z aplikacją 3D – to świetna kotwica uwagi dla 9-latka. Pamiętajcie, że dzieci mają darmowy wstęp: jeśli po 30 minutach poczujecie przeciążenie, opuśćcie obiekt bez poczucia winy lub straty finansowej. Używajcie parasola słonecznego jako mobilnego cienia.","Legendarna stolica minojskiej Krety z ruinami pałacu króla Minosa, mitycznym labiryntem Minotaura i słynnymi rekonstrukcjami kolorowych kolumn oraz fresków, w tym skoków przez byka.","1. Odszukaj malowidło przedstawiające ludzi skaczących przez byka. 2. Policz, ile wielkich glinianych beczek (pitosów) znajduje się w starożytnych spiżarniach. 3. Spróbuj znaleźć wejście do mitycznego labiryntu Minotaura.",0
2,Cretaquarium,Cretaquarium,"Cretaquarium, Gournes, Heraklion 715 00",Must have,"35.33256, 25.28254",2 godz. 25 min,1.5 - 2 godziny,"36 EUR (dorośli: 2x12 EUR, dzieci 5 i 7 lat: 2x6 EUR)",9:30 - 19:00 (sezon letni),"Niewymagana, ale rekomendowany zakup biletów online w sezonie, aby pominąć kolejkę do kasy.","Średnie - Akwarium jest wizualnie atrakcyjne i klimatyzowane, co sprzyja wyciszeniu (półmrok). Wyzwaniem mogą być hałas, pogłos (echo) oraz tłumy. Wskazówki: Zabierz słuchawki wygłuszające dla dziecka AuDHD, unikaj godzin szczytu (11:00-15:00), pozwól dziecku sterować tempem oglądania zbiorników.","Cień (Wewnątrz). Klimatyzowane wnętrza oceanarium, idealne schronienie przed słońcem i upałem w ciągu dnia.","Wysoki - Dzieci: Bardzo długa trasa autem (2h 25 min) gromadzi duży ładunek energii. Wewnątrz panuje kojący półmrok, ale tłum, hałas i echo w salach mogą wywołać nagły kryzys u dziecka AuDHD. Rodzice: Presja kosztu (36 EUR) i skumulowane zmęczenie po długiej podróży utrudniają elastyczne reagowanie na dysregulację dzieci.","Załóż dziecku AuDHD słuchawki wygłuszające, aby wyciszyć pogłos hal akwarystycznych. Unikajcie godzin szczytu (11:00-15:00). Pozwólcie dzieciom kontrolować tempo przechodzenia obok zbiorników. W razie niepokoju odpocznijcie w Aqua Cafe lub wyjdźcie na pobliską, szeroką plażę Gournes.","Jedno z największych akwariów w Europie, prezentujące bogate życie Morza Śródziemnego, w tym rekiny, płaszczki i meduzy, w realistycznie odwzorowanych i klimatyzowanych ekosystemach.","1. Znajdź rekina i policz jego płetwy grzbietowe. 2. Odszukaj najdziwniejszą, świecącą w ciemności meduzę i nazwij jej kolor. 3. Spróbuj wypatrzyć ukrytą na dnie ośmiornicę lub płaszczkę leżącą w piasku.",0
3,Lake Kournas,Lake Kournas,"Lake Kournas, Apokoronas 730 07",Must have,"35.33230, 24.27768",55 min,1 - 2 godziny,"10-15 EUR (wstęp darmowy; rower wodny 4-osobowy: 10 EUR/h zwykły, 15 EUR/h ze zjeżdżalnią)",brak ograniczeń (wypożyczalnie rowerów: 9:00 - 20:00),Brak (wypożyczenie rowerów wodnych odbywa się na miejscu bez rezerwacji).,"Łatwe - Dużo przestrzeni na świeżym powietrzu, karmienie kaczek i bezpośredni kontakt z naturą sprzyjają regulacji sensorycznej. Rower wodny ze zjeżdżalnią to świetny sposób na aktywne rozładowanie energii.","Pełne słońce / Półcień. Na tafli wody (rowery wodne) pełne słońce, natomiast przy brzegu pod drzewami i w tawernach jest głęboki, przyjemny cień.","Niski do Średni - Dzieci: Dojazd (55 min) jest w granicach tolerancji. Swobodna przestrzeń, kontakt z wodą i karmienie kaczek działają regulująco na układ nerwowy. Ryzyko meltdownu rośnie tylko przy skrajnym zmęczeniu słońcem. Rodzice: Niski koszt wstępu (0 EUR) i relaksujący krajobraz dają poczucie spokoju i brak presji finansowej.","Płynięcie rowerem wodnym z wbudowaną zjeżdżalnią to wspaniały stymulator sensoryczny i sposób na aktywne rozładowanie energii. W razie zmęczenia zjedzcie obiad w jednej z tawern bezpośrednio przy brzegu w głębokim cieniu drzew, gdzie szum wody i kaczki uspokajają układy nerwowe.","Jedyne naturalne słodkowodne jezioro na Krecie, otoczone majestatycznymi wzgórzami Gór Białych, słynące z krystalicznej wody, pływających żółwi błotnych i wypożyczalni rowerów wodnych.","1. Wypatruj małych żółwi błotnych wygrzewających się na słońcu. 2. Policz, ile gęsi i kaczek pływa blisko brzegu. 3. Podczas jazdy rowerem wodnym, spróbuj dotknąć stopą orzeźwiającej wody i opisz jej temperaturę.",0
4,Muzeum Archeologiczne w Heraklionie,Heraklion Archaeological Museum,"Xanthoudidou Street 1, Heraklion 712 02",Must have,"35.33924, 25.13702",2 godz. 15 min,1.5 - 2 godziny,"40 EUR (dorośli: 2x20 EUR, dzieci 5 i 7 lat: bezpłatnie)",8:00 - 20:00 (lato),"Niewymagana, ale rekomendowany zakup biletów online w sezonie, aby pominąć kolejkę do kasy.","Trudne - Tradycyjne muzeum z zasadą 'patrz, ale nie dotykaj', wymagające ciszy i hamowania impulsów. Echo w salach może drażnić słuchowo dziecko z AuDHD. Wskazówki: Ogranicz wizytę do 45 minut, skup się na kilku najciekawszych obiektach (np. Dysk z Fajstos - zamień to w zagadkę detektywistyczną), zabierz słuchawki wygłuszające i wykorzystaj interaktywne lub dotykowe kopie eksponatów.","Cień (Wewnątrz). Klimatyzowane sale nowoczesnego muzeum, świetna ucieczka przed popołudniowym upałem.","Średni - Dzieci: Krótki dojazd (20 min) pozwala zachować spokój przed wejściem. Jednak ciche, zamknięte sale muzeum i zasada 'nie dotykaj' wymagają silnego hamowania impulsów, co jest trudne dla ADHD. Rodzice: Niski poziom zmęczenia jazdą ułatwia spokojne przewodnictwo, a koszt 40 EUR stwarza umiarkowaną presję, by wizyta była udana.",Zaplanujcie ekspresową wizytę (maksymalnie 30-45 minut). Załóż dziecku AuDHD słuchawki wygłuszające (pogłos w salach). Przekształćcie wizytę w grę detektywistyczną (np. poszukiwanie słynnego Dysku z Fajstos). Wykorzystajcie kawiarnię muzealną lub dziedziniec jako strefę dekompresji.,"Nowoczesne muzeum w Heraklionie mieszczące najwspanialszą na świecie kolekcję minojskich skarbów, w tym kultowy Dysk z Fajstos i słynny złoty wisiorek z dwoma pszczołami.","1. Odszukaj słynny Dysk z Fajstos i znajdź na nim symbol przypominający głowę z pióropuszem. 2. Znajdź złotą zawieszkę z dwoma pszczołami trzymającymi kroplę miodu. 3. Wypatrz najmniejsze gliniane naczynie i zgadnij, co starożytne dzieci mogły w nim trzymać.",0
5,Botanical Garden of Crete,Botanical Garden of Crete,"Fournes, Chania 730 05",Must have,"35.41829, 23.93922",55 min,2 - 3 godziny,"20 EUR (dorośli: 2x8 EUR, dziecko 7 lat: 4 EUR, dziecko 5 lat: bezpłatnie)",9:00 - do zachodu słońca,Brak.,"Średnie - Długi spacer (około 2.5 km) po pagórkowatym terenie może zmęczyć fizycznie, ale kontakt z roślinami, zwierzętami i otwarta przestrzeń sprzyjają wyciszeniu. Wskazówki: Rób częste przerwy w zacienionych punktach, weź wózek/nosidło dla młodszego dziecka, unikaj godzin południowych.","Półcień. Spacer ścieżkami pod koronami drzew daje dużo naturalnego cienia, choć są też otwarte, nasłonecznione polany. Bardzo komfortowe na spacer.","Średni - Dzieci: Dojazd (55 min) jest znośny. Dużo ruchu na świeżym powietrzu i sensoryka roślin (zapachy, tekstury) sprzyjają regulacji, choć długi spacer (2.5 km) pod górę pod koniec może wywołać meltdown ze zmęczenia fizycznego. Rodzice: Koszt (20 EUR) i piękno przyrody dają dobrą relację jakości do ceny, co zmniejsza stres logistyczny.",Poruszajcie się niespiesznie. Róbcie częste przerwy w zacienionych punktach widokowych. Posiadanie wózka lub nosidła dla 5-latka uchroni go przed przeciążeniem fizycznym. Obiad w tutejszej restauracji podawany jest w spokojnym otoczeniu i działa kojąco po spacerze.,"Przepiękny, 20-hektarowy ogród u stóp Gór Białych, powstały na zgliszczach po pożarze orange-oliwnych gajów, prezentujący bogatą florę z całego świata i swobodnie spacerujące pawie.","1. Znajdź spalone, wiekowe drzewo oliwne i dotknij jego szorstkiej kory. 2. Odszukaj roślinę, której liście pachną jak cytryna lub mięta (potrzyj delikatnie listek). 3. Policz pawie, które swobodnie spacerują po ścieżkach ogrodu.",0
6,Argyroupoli Waterfalls,Argyroupoli Waterfalls,Argyroupoli 740 07,Must have,"35.28634, 24.33321",1 godz. 10 min,1 - 2 godziny,0 EUR wstęp (opcjonalny tradycyjny obiad w tawernie pod platanami ok. 50-60 EUR dla rodziny 2+2),brak ograniczeń,Brak.,Łatwe - Szum wody działa niesamowicie kojąco i regulująco na układ nerwowy. Cień platanów i chłód dają odpoczynek od słońca. Dzieci mogą bezpiecznie biegać wokół strumyków.,"Cień / Półcień. Głęboki cień rzucany przez potężne, wiekowe platany oraz przyjemny chłód i wilgoć od płynących wodospadów.","Niski - Dzieci: Dojazd (1h 10 min) jest umiarkowany. Kojący, głośny biały szum wodospadów i naturalny chłód działają niezwykle regulująco na zmysły dzieci. Rodzice: Brak opłaty za wstęp (0 EUR) eliminuje presję finansową, a bliskość świetnych tawern pozwala na spokojny lunch w cieniu platanów.","Idealne miejsce na sensoryczną samoregulację. Pozwólcie dzieciom na bezpieczny, bezpośredni kontakt z zimną wodą (moczenie dłoni, rzucanie listków). Szum wody i głęboki cień platanów koją przemęczenie hałasem i nadmiarem wrażeń zmysły. Zjedzcie spokojny lunch w jednej z restauracji nad wodą.","Urokliwe naturalne wodospady i źródła płynące ze skał pod stuletnimi platanami w Argyroupoli, oferujące kojący szum wody, przyjemny chłód w upalne dni oraz słynne tawerny rybne.","1. Zamknij na chwilę oczy i wsłuchaj się w szum wodospadów – spróbuj wskazać ręką, skąd płynie najgłośniejszy strumień. 2. Wypatrz pływające w basenach pstrągi i policz, ile z nich stoi nieruchomo pod prąd wody. 3. Znajdź miejsce, gdzie woda wypływa bezpośrednio z jaskini lub skały.",0
7,Ancient Aptera,Ancient Aptera,"Aptera, Chania 730 03",Must have,"35.46271, 24.14175",35 min,1.5 - 2 godziny,"20 EUR (dorośli: 2x10 EUR, dzieci bezpłatnie)",8:00 - 19:30 (10-15.09) / 8:00 - 19:00 (16-24.09) (wtorki zamknięte),Brak (rezerwacja konieczna tylko na rzadkie letnie koncerty organizowane w amfiteatrze).,"Średnie - Rozległy, otwarty teren archeologiczny. Brak tłumów pozwala na swobodne bieganie i rozładowanie energii, jednak ekspozycja na słońce i brak cienia mogą szybko pogorszyć humor. Wskazówki: Zwiedzaj wcześnie rano, poruszaj się ścieżkami jak w labiryncie, weź zapas przekąsek.","Pełne słońce. Rozległy, otwarty teren starożytnego miasta, niemal całkowicie pozbawiony drzew i cienia.","Średni - Dzieci: Krótki dojazd (35 min) zapobiega zmęczeniu. Otwarty, rozległy teren pozwala na rozładowanie energii poprzez ruch, ale brak cienia i upał mogą wywołać meltdown w godzinach południowych. Rodzice: Niski stres finansowy (20 EUR) i mała liczba turystów dają komfort psychiczny i brak lęku przed oceną społeczną.","Brak tłumów pozwala dzieciom z ADHD na bezpieczne bieganie i krzyczenie. Wykorzystajcie starożytny teatr do zabawy dźwiękiem (akustyka teatru) jako rozładowanie emocji. Zwiedzajcie wyłącznie rano lub późnym popołudniem z nakryciem głowy, gdyż teren jest bardzo nasłoneczniony.","Imponujące stanowisko archeologiczne na płaskowyżu nad Zatoką Souda, łączące ślady rzymskich cystern o niesamowitej akustyce, bizantyjski klasztor, osmański fort i teatr z widokiem na zatokę.","1. Stań na środku starożytnego teatru i wypowiedz szeptem swoje imię – sprawdź, czy usłyszysz echo. 2. Policz, ile kroków ma gigantyczna rzymska cysterna na wodę. 3. Znajdź kamień z wyrytą starożytną literą lub symbolem.",0
8,Ancient Lappa,Ancient Lappa,Argyroupoli 740 07,Must have,"35.28682, 24.33475",1 godz. 10 min,1 godzina,0 EUR (wstęp wolny do wioski i ruin),brak ograniczeń,Brak.,"Łatwe - Spokojna, historyczna wioska, dużo natury, brak tłumów i pośpiechu.",Pełne słońce / Półcień. Spacer uliczkami dawnego miasta – cień dają mury budynków i drzewa w zależności od pory dnia.,"Niski - Dzieci: Spokojna atmosfera dawnej, cichej wioski bez tłumów i pośpiechu sprzyja wyciszeniu zmysłów. Rodzice: Całkowity brak kosztów (0 EUR) i elastyczny czas zwiedzania eliminują pośpiech, dając neuroatypowym rodzicom pełen relaks.","Zwiedzajcie w powolnym tempie, dając dzieciom swobodę eksploracji starożytnych uliczek. Połączcie spacer z wizytą przy chłodnych wodospadach i obiedzie w Argyroupoli, co pozwoli na natychmiastowe zresetowanie układu nerwowego w razie marudzenia.","Historyczna górka i dawna część starożytnego rzymskiego miasta Lappa w Argyroupoli, kryjąca ślady rzymskich mozaik, wiekowe gigantyczne drzewa oliwne i urokliwą architekturę.","1. Znajdź najstarsze, gigantyczne drzewo oliwne w wiosce i spróbuj je objąć wraz z rodzicami (policz, ile osób jest potrzebnych). 2. Odszukaj starożytne rzymskie mozaiki ukryte między domami. 3. Znajdź tradycyjne, kamienne koryto na wodę.",0
9,Arevitis Farm,Arevitis Farm,"Meskla, Chania 730 05",Must have,"35.40530, 23.92120",50 min,2 - 3 godziny,0 EUR wstęp (opcjonalny ekologiczny obiad/degustacja z produktów farmy ok. 40-50 EUR dla rodziny 2+2),otwarte zazwyczaj popołudniu/wieczorem,Zalecany kontakt lub rezerwacja przed planowaną wizytą.,"Średnie - Farma ze zwierzętami i warsztatami. Kontakt ze zwierzętami jest świetny dla dzieci AuDHD, ale zorganizowane zajęcia wymagają skupienia i czekania na swoją kolej. Wskazówki: Uprzedź dziecko o planie zajęć, przygotuj na hałas zwierząt gospodarskich.","Półcień. Teren gospodarstwa i ogrodu, sporo zacienionych miejsc pod drzewami.","Średni - Dzieci: Dojazd (50 min) jest akceptowalny. Bliskość zwierząt gospodarskich to świetna, regulująca kotwica uwagi, jednak zorganizowane zajęcia i czekanie na swoją kolej mogą frustrować dziecko z ADHD. Rodzice: Brak opłat na wejściu (0 EUR) redukuje stres, a agroturystyczny klimat sprzyja wyciszeniu.","Zwierzaki w gospodarstwie agroturystycznym działają niesamowicie terapeutycznie i kojąco, jednak uprzedźcie dzieci o hałasie i zapachach wsi. Pozwólcie im na niespieszny kontakt ze zwierzętami, bez presji czasu czy sztywnych ram zajęć.","Ekologiczne gospodarstwo agroturystyczne w rejonie Chanii, oferujące bliski kontakt ze zwierzętami, naturalne warsztaty i tradycyjne kreteńskie posiłki z własnych ekologicznych upraw.","1. Policz kozy i owce w zagrodzie, a potem spróbuj naśladować ich dźwięki. 2. Dowiedz się, jak ma na imię najmłodsze zwierzątko na farmie. 3. Pomóż rodzicom zebrać świeże zioła lub oliwki do koszyka.",0
10,Kastelli archaeological site,Kastelli Archaeological Site,"Wzgórze Kasteli, Chania 731 32",Must have,"35.51731, 24.01948",25 min,30 - 60 min,0 EUR (wstęp wolny na punkt widokowy i wzgórze),8:30 - 15:30 (wtorki zamknięte),Brak.,"Średnie - Otwarte stanowisko archeologiczne, brak tłumów, ale mało cienia i mało interaktywnych elementów.","Pełne słońce. Odkryty wykop archeologiczny w centrum miasteczka, brak osłony przed słońcem.",Niski - Dzieci: Wizyta jest krótka (30-60 min) i nie wymaga długiego skupienia ani stania w kolejkach na otwartym terenie. Rodzice: Położenie w sercu Chanii i zerowy koszt (0 EUR) ułatwiają natychmiastową ewakuację do restauracji lub powrót do auta w razie gorszego humoru dzieci.,"Szybka, 15-30 minutowa wizyta na wzgórzu w Chanii. W razie braku zainteresowania lub narastającej frustracji słońcem, natychmiast zejdźcie do jednej z klimatyzowanych lodziarni lub kawiarni w Starym Porcie tuż obok wykopu.","Stanowisko archeologiczne w samym sercu Starego Miasta w Chanii na wzgórzu Kastelli, odsłaniające wielowarstwowe ślady starożytnej Kydonii oraz minojskiej cywilizacji.","1. Wypatrz głębokie wykopy archeologiczne i wyobraź sobie, że jesteś detektywem poszukującym skarbów. 2. Spójrz na okoliczne wzgórza i znajdź najwyższy punkt widoczny na horyzoncie. 3. Narysuj patykiem na ziemi swój własny mityczny znak.",0
