numer,slug,nazwa_pl,nazwa_lacinska,grupa,szansa,rozmiar,gdzie_szukac,opis,ostrzezenie,link_opisu,autor_zdjecia,licencja_zdjecia,zrodlo_zdjecia
1,thalassoma_pavo,Wargacz pawi,Thalassoma pavo,Ryby,Pewniak,do 25 cm,"Płytko nad skałami i trawą morską, 1-5 m","Najbardziej kolorowa ryba Krety: zielono-pomarańczowe ciało w niebieskie pręgi i niebieskie kreski na pysku. Ciągle krąży nad skałami i skubie je dziobkiem. Lubi ciepłą wodę, więc latem jest jej na płyciznach pełno.",,https://pl.wikipedia.org/wiki/Talasoma_pawia,Matthieu Sontag,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Female_Thalassoma_pavo.JPG
2,coris_julis,Wargacz tęczowy,Coris julis,Ryby,Pewniak,do 25 cm,"Nad piaskiem i skałami, 1-10 m","Wąska, wijąca się jak wstążka rybka z pomarańczową zygzakowatą wstęgą wzdłuż boku. Pływa bez przerwy, a wieczorem zakopuje się w piasku na noc. Bardzo ciekawska - często sama podpływa do maski.",,https://pl.wikipedia.org/wiki/Korys_doncela,Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Doncella_(Coris_julis),_Cabo_de_Palos,_Espa%C3%B1a,_2022-07-17,_DD_69.jpg"
3,sarpa_salpa,Salpa,Sarpa salpa,Ryby,Pewniak,do 45 cm,"Duże ławice tuż przy brzegu, 0,5-10 m","Srebrna ryba z 10-11 złotymi paskami wzdłuż boku i ciemną plamką przy płetwie piersiowej. Płynie w wielkich ławicach, które skubią glony ze skał - słychać wtedy ciche skrobanie pod wodą.",,https://pl.wikipedia.org/wiki/Salpa,Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Salema_(Sarpa_salpa),_Catania,_Sicilia,_Italia,_2025-04-04,_DD_90.jpg"
4,diplodus_sargus,Sargus biały,Diplodus sargus,Ryby,Pewniak,do 45 cm,"Skały i falochrony, 1-15 m","Wysokie srebrne ciało z pionowymi ciemnymi pręgami i czarną plamą na ogonie. Trzyma się luźnych grupek przy skałach i lubi miejsca, gdzie fala miesza wodę.",,https://pl.wikipedia.org/wiki/Sargus,Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Sargo_com%C3%BAn_(Diplodus_sargus),_Madeira,_Portugal,_2019-05-31,_DD_29.jpg"
5,diplodus_vulgaris,Sargus dwupręgi,Diplodus vulgaris,Ryby,Pewniak,do 30 cm,"Skaliste dno i porty, 1-20 m","Podobny do sargusa białego, ale ma dwie wyraźne czarne obroże: jedną za głową, drugą przy ogonie. Często pływa w małych stadkach nad kamieniami.",,https://pl.wikipedia.org/wiki/Amarel,Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Mojarra_(Diplodus_vulgaris),_Parque_natural_de_la_Arr%C3%A1bida,_Portugal,_2020-07-31,_DD_20.jpg"
6,oblada_melanura,Oblada,Oblada melanura,Ryby,Pewniak,do 30 cm,"Tuż pod powierzchnią przy skałach, 0,5-10 m",Smukła srebrna ryba z jedną wielką czarną plamą w białej obwódce u nasady ogona - wygląda jak drugie oko. Krąży w ławicach zaraz pod lustrem wody.,,https://pl.wikipedia.org/wiki/Oblada,Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Oblada_(Oblada_melanura),_%C4%8Airkewwa,_Malta,_Malta,_2021-08-24,_DD_26.jpg"
7,chromis_chromis,Garbik,Chromis chromis,Ryby,Pewniak,do 15 cm,"Chmary nad skalnym dnem, 2-20 m","Mała, prawie czarna ryba z wcięciem w ogonie, unosząca się w chmarach nad skałami. Młode są elektrycznie niebieskie i świecą w słońcu jak iskierki - to najładniejszy widok na płyciznach.",,https://pl.wikipedia.org/wiki/Chromis_kasztanowy,Julien Renoult,CC BY 4.0,"https://commons.wikimedia.org/wiki/File:Mediterranean_Damselfish,_Var,_Provence-Alpes-C%C3%B4te_d%27Azur,_FR_imported_from_iNaturalist_photo_140272057_(cropped).jpg"
8,mullus_surmuletus,Barwena paskowana,Mullus surmuletus,Ryby,Częsta,do 40 cm,"Piaszczyste dno, 2-30 m","Różowo-czerwona ryba z żółtym paskiem, chodząca po dnie na dwóch wąsach pod pyskiem. Wąsami przeszukuje piasek jak wykrywaczem metalu i wzbija małe chmurki.",,https://pl.wikipedia.org/wiki/Barwena,Hans Hillewaert,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Mullus_surmuletus.jpg
9,serranus_scriba,Strzępiel pisany,Serranus scriba,Ryby,Częsta,do 25 cm,"Samotnie nad trawą morską i kamieniami, 1-30 m","Ma na pysku niebieskie esy-floresy, jakby ktoś po nim pisał, i niebieską plamę na boku. Zwykle stoi nieruchomo nad dnem i pozwala się podpłynąć bardzo blisko.",,https://pl.wikipedia.org/wiki/Strz%C4%99piel_pisarz,Hectonichus,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Serranidae_-_Serranus_scriba.JPG
10,symphodus_tinca,Wargacz zielony,Symphodus tinca,Ryby,Częsta,do 44 cm,"Łąki trawy morskiej, 1-30 m","Duży wargacz w oliwkowo-zielone i bordowe cętki, z wyraźnymi wargami. Samce wiosną budują z glonów gniazda i przeganiają wszystkich intruzów.",,https://pl.wikipedia.org/wiki/Wargacz_linek,Parent Géry,CC BY-SA 3.0,"https://commons.wikimedia.org/wiki/File:Symphodus_tinca_m%C3%A2le_avec_des_femelles_(Linnaeus,_1758).jpg"
