id_wycieczki,tytul_wycieczki,calosciowy_opis_wycieczki,calosciowa_taktyka_dnia,godzina_pobudki,szacowany_czas_ogarniania_rano,krok_wycieczki,numer_miejsca,nazwa,wspolrzedne,okienko_zwiedzania,godzina_ewakuacji,czerwona_strefa_ostrzezenie,strefa_luzu_i_regeneracji,podsumowanie_taktyki,rodzaj_posilku,godzina_posilku,nazwa_posilku
0,Lotnisko,"Spokojny transfer powrotny ze Stavros na lotnisko w Heraklionie na lot o godzinie 13:00, z uwzględnieniem czasu na zwrot samochodu i bezstresową odprawę.","Wyjeżdżamy rano po śniadaniu, jedziemy spokojnie trasą VOAK z zapasem czasu, zdajemy sprawnie samochód do 10:30, a czas przed odlotem spędzamy w wyciszonej strefie lotniska.",07:15,0.5h,0,46,Wyjazd z domku,"35.59125, 24.09555",07:15 - 07:45,-,"Upewnij się, że nie zostawiliście żadnych leków ani kabli w gniazdkach w domku.","Klimatyzowane auto, spokojna muzyka na pożegnanie z Kretą.","Śniadanie, ostateczne spakowanie auta i wyjazd punktualnie o 08:15.",śniadanie,07:15,Śniadanie
0,Lotnisko,"Spokojny transfer powrotny ze Stavros na lotnisko w Heraklionie na lot o godzinie 13:00, z uwzględnieniem czasu na zwrot samochodu i bezstresową odprawę.","Wyjeżdżamy rano po śniadaniu, jedziemy spokojnie trasą VOAK z zapasem czasu, zdajemy sprawnie samochód do 10:30, a czas przed odlotem spędzamy w wyciszonej strefie lotniska.",07:15,0.5h,1,56,Lotnisko w Heraklionie,"35.33972, 25.18028",10:35 - 13:05,13:05 (Odlot),Hałas i echo w hali odlotów mogą drażnić słuchowo dziecko z AuDHD – słuchawki wygłuszające założyć przed wejściem do terminala!,Kącik zabaw dla dzieci lub spokojniejsze fotele przy mniej obciążonych bramkach (gate'ach).,"Zdanie samochodu do 10:30, bezstresowa odprawa, odpoczynek w cichej strefie przed odlotem o 13:00.",lunchbox_maly,11:05,Mały lunchbox
1,Mity i Oceaniczne Głębiny: Pałac w Knossos & Cretaquarium,Wyprawa łącząca mityczną historię starożytnej Krety w Knossos z klimatyzowanym podwodnym światem Cretaquarium oraz eksponatami Muzeum Archeologicznego.,"Spieszymy się rano w Knossos przed słońcem i autokarami, potem chłodzimy się i wyciszamy zmysły w mrocznym akwarium, a na koniec szybko oglądamy złote pszczoły w klimatyzowanym muzeum.",04:40,0.5h,0,46,Wyjazd z domku,"35.59125, 24.09555",04:40 - 05:10,-,Sprawdzić czy wszystko spakowane przed zamknięciem drzwi,Klimatyzowany samochód – spokojna jazda bez pośpiechu,Spakowanie auta i wyjazd o deadline,śniadanie,04:40,Śniadanie
1,Mity i Oceaniczne Głębiny: Pałac w Knossos & Cretaquarium,Wyprawa łącząca mityczną historię starożytnej Krety w Knossos z klimatyzowanym podwodnym światem Cretaquarium oraz eksponatami Muzeum Archeologicznego.,"Spieszymy się rano w Knossos przed słońcem i autokarami, potem chłodzimy się i wyciszamy zmysły w mrocznym akwarium, a na koniec szybko oglądamy złote pszczoły w klimatyzowanym muzeum.",04:40,0.5h,1,1,Pałac w Knossos,"35.29805, 25.16278",08:00 - 09:30,09:30 (upał i tłum),Ewakuacja przed 10:00! Słońce i fale autokarów tworzą ekstremalne przebodźcowanie.,Zacieniony skwer przy wyjściu.,"Szybkie zwiedzanie w chłodzie rano, bez przemęczania dzieci.",lunchbox_maly,08:00 - 09:30,Mały lunchbox
1,Mity i Oceaniczne Głębiny: Pałac w Knossos & Cretaquarium,Wyprawa łącząca mityczną historię starożytnej Krety w Knossos z klimatyzowanym podwodnym światem Cretaquarium oraz eksponatami Muzeum Archeologicznego.,"Spieszymy się rano w Knossos przed słońcem i autokarami, potem chłodzimy się i wyciszamy zmysły w mrocznym akwarium, a na koniec szybko oglądamy złote pszczoły w klimatyzowanym muzeum.",04:40,0.5h,2,2,Cretaquarium,"35.33256, 25.28254",09:55 - 11:25,11:25 (czas na obiad),Hałas i echo w halach - założyć dzieciom słuchawki wygłuszające.,Zacieniony ogród tawerny przy plaży Gournes ze świeżą bryzą.,Podwodne wyciszenie w klimatyzowanym półmroku oraz spokojny obiad nad morzem.,lunchbox_maly,09:55 - 11:25,Mały lunchbox
1,Mity i Oceaniczne Głębiny: Pałac w Knossos & Cretaquarium,Wyprawa łącząca mityczną historię starożytnej Krety w Knossos z klimatyzowanym podwodnym światem Cretaquarium oraz eksponatami Muzeum Archeologicznego.,"Spieszymy się rano w Knossos przed słońcem i autokarami, potem chłodzimy się i wyciszamy zmysły w mrocznym akwarium, a na koniec szybko oglądamy złote pszczoły w klimatyzowanym muzeum.",04:40,0.5h,3,4,Muzeum Archeologiczne w Heraklionie,"35.33924, 25.13702",11:45 - 12:40,12:40 (czas na powrót),"Długie zwiedzanie (ponad 45 min) grozi znużeniem. Szybki, celowy spacer po najważniejszych salach minojskich.",Zacieniony skwer przy muzeum lub klimatyzowane lobby.,Ekspresowa i celowa wizyta w klimatyzowanym muzeum pod kątem minojskich skarbów.,,,
1,Mity i Oceaniczne Głębiny: Pałac w Knossos & Cretaquarium,Wyprawa łącząca mityczną historię starożytnej Krety w Knossos z klimatyzowanym podwodnym światem Cretaquarium oraz eksponatami Muzeum Archeologicznego.,"Spieszymy się rano w Knossos przed słońcem i autokarami, potem chłodzimy się i wyciszamy zmysły w mrocznym akwarium, a na koniec szybko oglądamy złote pszczoły w klimatyzowanym muzeum.",04:40,0.5h,4,46,Powrót do domku,"35.59125, 24.09555",15:35 - 18:35,-,Brak,"Bezpieczna, łagodna zatoka Stavros – pełny reset po powrocie.","Spokojna sjesta, plaża i domowa kolacja w Stavros.",kolacja,16:05,Kolacja
2,"Wodospady, Starożytne Lappa & Słodkowadne Jezioro Kournas","Spokojna, orzeźwiająca wyprawa łącząca rzymską wioskę Lappa z obiadem przy wodospadach Argyroupoli oraz zabawą na rowerach wodnych.","Zaczynamy od łagodnego spaceru w cieniu rzymskiej wioski, potem jemy obiad przy kojącym szumie wodospadów pod wielkimi platanami, a popołudniu pedałujemy na rowerku wodnym i szukamy żółwi w jeziorze.",08:00,0.5h,0,46,Wyjazd z domku,"35.59125, 24.09555",08:00 - 08:30,-,Sprawdzić czy wszystko spakowane przed zamknięciem drzwi,Klimatyzowany samochód – spokojna jazda bez pośpiechu,Spakowanie auta i wyjazd o deadline,śniadanie,08:00,Śniadanie
2,"Wodospady, Starożytne Lappa & Słodkowadne Jezioro Kournas","Spokojna, orzeźwiająca wyprawa łącząca rzymską wioskę Lappa z obiadem przy wodospadach Argyroupoli oraz zabawą na rowerach wodnych.","Zaczynamy od łagodnego spaceru w cieniu rzymskiej wioski, potem jemy obiad przy kojącym szumie wodospadów pod wielkimi platanami, a popołudniu pedałujemy na rowerku wodnym i szukamy żółwi w jeziorze.",08:00,0.5h,1,8,Ancient Lappa & Lappa Avocado,"35.28682, 24.33475",09:45 - 11:15,11:15 (przejście na obiad),Strome podejścia - trzymać wolne tempo.,Pachnący i chłodny sklepik Lappa Avocado.,Łagodny spacer w porannym cieniu rzymskiej wioski.,lunchbox_maly,09:45 - 11:15,Mały lunchbox
2,"Wodospady, Starożytne Lappa & Słodkowadne Jezioro Kournas","Spokojna, orzeźwiająca wyprawa łącząca rzymską wioskę Lappa z obiadem przy wodospadach Argyroupoli oraz zabawą na rowerach wodnych.","Zaczynamy od łagodnego spaceru w cieniu rzymskiej wioski, potem jemy obiad przy kojącym szumie wodospadów pod wielkimi platanami, a popołudniu pedałujemy na rowerku wodnym i szukamy żółwi w jeziorze.",08:00,0.5h,2,6,Wodospady Argyroupoli,"35.28634, 24.33321",11:25 - 13:40,13:40 (przejazd nad jezioro),Śliskie kamienie - uważać przy wodzie.,Głęboki cień platanów i naturalny szum spływającej wody.,Kojący obiad w tradycyjnej tawernie rybnej przy wodospadach.,lunchbox_maly,11:25 - 13:40,Mały lunchbox
